商品,メーカー,型番,レビュー,レビュー評価者数,保存容量,幅,高さ,奥行,重量,転送速度,エネルギー消費効率,消費電力,販売店舗,販売店舗,値段,送料,ショップポイント,QR決済/クレジットカード,支払い方法,ショップの評価,評価者数,参考文献
19,WESTERN DIGITAL,G-DRIVE ArmorATD SDPH81G-004T-GBAND,5,1,4000,88,30,132,349,0.14,,,5,Joshin,20500,0,2050,205,Master Card,0.6,41,[35][36][37]
19,WESTERN DIGITAL,G-DRIVE ArmorATD SDPH81G-004T-GBAND,5,1,4000,88,30,132,349,0.14,,,6,コジマネット,20500,0,2050,205,Master Card,0.84,19,[35][36][37]
19,WESTERN DIGITAL,G-DRIVE ArmorATD SDPH81G-004T-GBAND,5,1,4000,88,30,132,349,0.14,,,7,ビックカメラ.com,20500,0,2050,205,Master Card,0.75,20,[35][36][37]
19,WESTERN DIGITAL,G-DRIVE ArmorATD SDPH81G-004T-GBAND,5,1,4000,88,30,132,349,0.14,,,8,ソフマップ.com,20500,0,2050,205,Master Card,0.56,16,[35][36][37]
19,WESTERN DIGITAL,G-DRIVE ArmorATD SDPH81G-004T-GBAND,5,1,4000,88,30,132,349,0.14,,,9,楽天ビックカメラ,20500,540,205,205,Master Card,,0,[35][36][37]
19,WESTERN DIGITAL,G-DRIVE ArmorATD SDPH81G-004T-GBAND,5,1,4000,88,30,132,349,0.14,,,10,コジマ（楽天市場）,20500,0,205,205,Master Card,1,3,[35][36][37]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,1,イートレンド,11330,0,0,113.3,Master Card,0.95,442,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,2,NTT-X Store,11330,0,0,113.3,Master Card,0.83,12,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,3,ECカレント,11330,0,0,113.3,Master Card,0.9,20,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,4,eBEST,11330,0,0,113.3,Master Card,1,14,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,5,特価COM,11330,0,0,,銀行振込,1,17,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,6,Amazon.co.jp,11444,0,114,114.44,Master Card,0.77,58,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,7,Joshin,11444,0,115,114.44,Master Card,0.6,41,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,8,EDIONネットショップ,11444,0,0,114.44,Master Card,0.41,12,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,9,特価COM（楽天市場）,11444,550,114,114.44,Master Card,,0,[38][39]
20,バッファロー,HD-PGAC2U3-BA,4.48,2,2000,75,19.5,117,240,,0.00084,,10,サンバイカル,11601,0,0,,銀行振込,1,102,[38][39]
